src/serve/acp-http/transport.test.ts(6690,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6747,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6770,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6794,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6827,42): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6871,41): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6892,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6906,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6922,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6936,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6950,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6965,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6984,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7020,41): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7076,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7137,34): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7199,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7245,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7261,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7277,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7291,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7305,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7321,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7335,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7349,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7363,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7377,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7397,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7420,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(7445,41): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
